Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,Fertilizer
25,36,39,Sandy,Pulses,16,29,39,Urea
28,75,64,Red,Wheat,28,44,77,10-26-26
30,48,51,Clayey,Paddy,10,22,21,Urea
36,82,54,Red,Pulses,56,14,30,DAP
40,79,34,Sandy,Paddy,31,36,38,28-28
23,60,54,Red,Wheat,33,57,22,14-35-14
30,83,54,Red,Maize,10,22,39,Urea
33,80,24,Black,Sugarcane,15,29,40,Urea
18,37,76,Loamy,Cotton,52,44,10,MOP
18,41,49,Black,Maize,35,43,35,20-20
28,60,50,Red,Wheat,40,42,61,10-26-26
20,42,42,Black,Sugarcane,21,43,70,10-26-26
40,43,39,Loamy,Wheat,29,44,65,10-26-26
30,74,66,Sandy,Paddy,38,69,22,14-35-14
27,35,65,Black,Wheat,49,19,35,DAP
21,73,37,Black,Cotton,39,79,30,14-35-14
38,32,80,Loamy,Wheat,56,14,45,DAP
29,40,53,Loamy,Wheat,10,34,26,Urea
37,75,75,Loamy,Wheat,23,27,35,Urea
24,52,66,Sandy,Sugarcane,36,11,48,DAP
18,38,45,Red,Maize,35,80,26,14-35-14
29,62,71,Clayey,Cotton,32,40,14,MOP
37,66,58,Sandy,Sugarcane,28,41,28,28-28
27,52,72,Clayey,Paddy,31,58,58,20-20
39,85,54,Clayey,Pulses,20,26,38,Urea
29,82,31,Sandy,Pulses,18,38,38,Urea
26,66,64,Loamy,Maize,41,10,38,DAP
24,68,60,Clayey,Wheat,18,22,35,Urea
26,82,48,Clayey,Cotton,28,64,22,14-35-14
29,50,34,Red,Pulses,57,12,34,DAP
30,35,27,Sandy,Paddy,34,50,11,MOP
27,32,85,Clayey,Pulses,19,24,22,Urea
38,70,79,Clayey,Pulses,41,48,48,20-20
38,46,41,Black,Maize,46,31,19,MOP
38,82,68,Loamy,Maize,35,31,72,10-26-26
23,53,53,Black,Wheat,39,41,33,28-28
29,54,55,Clayey,Maize,39,49,11,MOP
25,43,46,Sandy,Sugarcane,22,65,25,14-35-14
24,68,20,Loamy,Pulses,39,46,67,10-26-26
26,75,81,Loamy,Pulses,31,73,30,14-35-14
20,31,72,Black,Cotton,57,16,39,DAP
25,40,44,Clayey,Sugarcane,31,50,59,20-20
38,74,27,Sandy,Cotton,30,31,66,10-26-26
28,47,22,Black,Pulses,15,21,25,Urea
38,64,44,Sandy,Cotton,26,31,60,10-26-26
22,41,64,Red,Paddy,20,56,20,14-35-14
24,82,68,Clayey,Cotton,59,16,31,DAP
23,62,31,Sandy,Pulses,25,73,24,14-35-14
20,55,68,Sandy,Cotton,31,39,78,10-26-26
37,42,64,Sandy,Sugarcane,20,24,22,Urea
39,38,50,Sandy,Cotton,20,40,62,10-26-26
20,55,45,Red,Maize,43,10,46,DAP
32,47,77,Red,Pulses,31,34,42,28-28
40,41,27,Loamy,Cotton,34,42,43,28-28
27,30,30,Loamy,Maize,38,29,38,28-28
18,38,29,Black,Sugarcane,34,42,60,10-26-26
28,42,29,Sandy,Pulses,27,33,70,10-26-26
20,57,48,Clayey,Pulses,55,16,31,DAP
21,47,71,Loamy,Pulses,47,41,60,20-20
25,79,71,Black,Pulses,14,36,40,Urea
20,60,80,Sandy,Wheat,21,76,38,14-35-14
19,62,24,Red,Pulses,36,53,39,20-20
21,63,45,Loamy,Maize,32,15,39,DAP
22,75,79,Loamy,Paddy,17,25,27,Urea
34,45,52,Black,Wheat,39,25,39,28-28
18,63,37,Sandy,Cotton,32,11,32,DAP
34,69,64,Red,Pulses,49,19,44,DAP
25,58,21,Clayey,Pulses,26,32,80,10-26-26
39,47,57,Clayey,Pulses,58,36,17,MOP
39,37,72,Clayey,Paddy,30,42,19,MOP
20,84,66,Sandy,Sugarcane,50,48,55,20-20
24,76,45,Sandy,Pulses,41,50,33,20-20
39,38,53,Loamy,Maize,48,59,32,20-20
37,83,54,Sandy,Cotton,32,60,21,14-35-14
23,31,40,Clayey,Pulses,34,42,41,28-28
34,51,25,Sandy,Wheat,34,30,41,28-28
19,35,68,Red,Cotton,18,26,23,Urea
36,39,64,Loamy,Paddy,13,27,28,Urea
34,35,54,Loamy,Wheat,49,11,42,DAP
40,77,81,Black,Maize,30,38,59,10-26-26
40,33,21,Sandy,Cotton,12,23,37,Urea
23,44,35,Sandy,Pulses,31,13,31,DAP
34,60,79,Sandy,Paddy,36,33,39,28-28
20,66,81,Sandy,Pulses,45,27,42,28-28
31,68,70,Sandy,Pulses,35,55,27,14-35-14
39,59,61,Black,Pulses,31,34,71,10-26-26
24,57,30,Red,Paddy,14,25,22,Urea
32,49,64,Sandy,Wheat,21,38,69,10-26-26
39,67,47,Clayey,Sugarcane,26,74,30,14-35-14
33,37,53,Black,Sugarcane,43,41,14,MOP
38,81,52,Clayey,Paddy,38,62,29,14-35-14
34,85,63,Sandy,Wheat,45,46,13,MOP
36,47,24,Loamy,Wheat,50,17,46,DAP
20,69,84,Red,Wheat,24,30,33,Urea
23,51,53,Black,Maize,36,63,32,14-35-14
23,38,71,Sandy,Maize,57,55,48,20-20
21,56,58,Clayey,Pulses,52,31,15,MOP
37,52,28,Clayey,Maize,57,34,19,MOP
39,65,85,Clayey,Wheat,40,37,42,28-28
19,31,47,Clayey,Paddy,40,13,50,DAP
38,59,77,Clayey,Cotton,31,37,11,MOP
22,57,20,Red,Wheat,22,47,61,10-26-26
36,74,41,Red,Wheat,23,36,58,10-26-26
18,56,30,Clayey,Wheat,40,15,41,DAP
22,84,58,Loamy,Pulses,20,36,65,10-26-26
19,44,47,Red,Cotton,49,46,56,20-20
35,41,31,Red,Paddy,21,36,32,Urea
19,59,49,Loamy,Paddy,50,45,14,MOP
26,61,35,Loamy,Pulses,57,37,59,20-20
34,48,41,Red,Paddy,30,35,72,10-26-26
31,69,47,Red,Pulses,26,44,56,10-26-26
21,71,39,Loamy,Sugarcane,22,37,30,Urea
20,56,84,Sandy,Maize,33,27,33,28-28
31,70,61,Clayey,Maize,35,58,32,14-35-14
19,77,44,Black,Maize,47,34,18,MOP
22,82,44,Sandy,Pulses,43,12,46,DAP
18,41,67,Black,Wheat,19,40,24,Urea
21,75,33,Sandy,Wheat,38,32,77,10-26-26
32,71,56,Sandy,Sugarcane,30,37,11,MOP
40,37,57,Clayey,Paddy,37,15,31,DAP
36,34,84,Loamy,Paddy,45,13,37,DAP
24,37,83,Black,Paddy,31,67,21,14-35-14
34,69,72,Red,Cotton,34,48,61,10-26-26
31,81,84,Black,Paddy,22,30,73,10-26-26
34,35,33,Sandy,Cotton,42,38,26,28-28
27,35,82,Red,Paddy,32,39,36,28-28
38,44,72,Black,Maize,36,44,43,28-28
26,55,28,Red,Sugarcane,30,26,39,28-28
33,31,45,Loamy,Cotton,41,10,34,DAP
23,46,74,Clayey,Pulses,42,52,59,20-20
34,53,41,Black,Pulses,39,43,13,MOP
35,68,52,Sandy,Wheat,19,32,30,Urea
39,57,69,Black,Maize,50,34,58,20-20
31,41,65,Black,Pulses,28,70,27,14-35-14
35,52,45,Loamy,Cotton,39,31,31,28-28
28,40,65,Red,Cotton,13,21,27,Urea
26,59,50,Red,Pulses,35,49,53,20-20
19,73,76,Black,Paddy,17,36,39,Urea
22,39,41,Black,Maize,38,49,11,MOP
22,47,79,Clayey,Maize,37,37,59,10-26-26
27,35,48,Red,Cotton,26,49,80,10-26-26
39,71,47,Clayey,Cotton,34,10,41,DAP
38,57,43,Black,Sugarcane,24,39,60,10-26-26
21,62,50,Sandy,Paddy,50,40,12,MOP
40,38,49,Loamy,Paddy,15,21,39,Urea
22,61,67,Loamy,Pulses,32,35,65,10-26-26
29,55,54,Red,Sugarcane,52,39,15,MOP
35,30,44,Sandy,Pulses,38,31,27,28-28
19,85,42,Sandy,Cotton,12,31,27,Urea
38,66,24,Red,Paddy,10,20,20,Urea
21,68,21,Red,Wheat,50,32,13,MOP
27,38,48,Red,Paddy,40,44,33,28-28
33,57,61,Black,Cotton,26,35,76,10-26-26
18,79,80,Clayey,Pulses,25,36,68,10-26-26
23,40,80,Loamy,Sugarcane,53,12,47,DAP
24,38,83,Red,Sugarcane,22,21,38,Urea
35,41,84,Loamy,Wheat,33,32,15,MOP
25,52,51,Loamy,Paddy,34,61,20,14-35-14
35,46,63,Clayey,Cotton,39,76,38,14-35-14
33,65,81,Black,Cotton,34,49,71,10-26-26
37,30,34,Black,Pulses,48,39,55,20-20
27,80,64,Clayey,Maize,38,53,34,20-20
38,64,55,Clayey,Cotton,28,61,27,14-35-14
33,50,29,Loamy,Wheat,34,68,32,14-35-14
19,64,56,Clayey,Maize,35,10,48,DAP
33,38,43,Clayey,Maize,35,37,75,10-26-26
27,46,28,Black,Cotton,21,76,28,14-35-14
26,80,31,Clayey,Pulses,56,44,14,MOP
38,58,75,Black,Paddy,38,39,80,10-26-26
27,34,71,Black,Paddy,57,48,17,MOP
38,36,46,Clayey,Cotton,37,12,43,DAP
33,71,47,Red,Pulses,30,36,65,10-26-26
20,84,46,Black,Wheat,59,50,35,20-20
18,67,26,Clayey,Maize,59,19,44,DAP
40,37,36,Red,Wheat,40,57,39,14-35-14
34,64,54,Black,Pulses,23,56,31,14-35-14
18,47,45,Sandy,Maize,39,45,51,20-20
35,60,85,Loamy,Pulses,25,35,33,28-28
25,46,36,Red,Paddy,39,77,24,14-35-14
37,71,29,Black,Maize,41,56,54,20-20
40,73,30,Sandy,Paddy,38,70,40,14-35-14
26,66,67,Sandy,Cotton,39,30,34,28-28
34,83,66,Clayey,Cotton,58,16,42,DAP
33,59,66,Red,Paddy,37,56,21,14-35-14
34,46,60,Sandy,Maize,23,57,39,14-35-14
18,52,40,Loamy,Maize,39,59,33,14-35-14
38,85,58,Sandy,Sugarcane,15,36,23,Urea
36,41,66,Black,Sugarcane,48,10,42,DAP
40,75,22,Loamy,Wheat,45,12,31,DAP
37,79,44,Sandy,Pulses,23,56,32,14-35-14
26,62,29,Clayey,Wheat,47,43,54,20-20
21,42,28,Clayey,Cotton,39,44,33,28-28
28,71,51,Loamy,Paddy,47,46,11,MOP
39,53,69,Loamy,Paddy,13,31,24,Urea
19,79,75,Sandy,Maize,55,44,36,20-20
32,52,43,Loamy,Sugarcane,34,13,46,DAP
18,35,70,Clayey,Pulses,42,41,27,28-28
40,58,28,Clayey,Pulses,42,35,43,28-28
29,65,59,Sandy,Maize,36,42,26,28-28
23,66,44,Clayey,Wheat,37,32,32,20-20
19,57,33,Black,Maize,32,31,56,10-26-26
27,71,41,Black,Pulses,32,50,20,MOP
36,62,30,Clayey,Pulses,22,44,71,10-26-26
28,48,49,Clayey,Pulses,40,43,11,MOP
35,53,75,Loamy,Maize,36,72,32,14-35-14
38,65,50,Black,Wheat,50,12,38,DAP
35,48,59,Clayey,Paddy,38,50,14,MOP
24,40,32,Loamy,Cotton,39,73,29,14-35-14
32,69,66,Loamy,Cotton,43,39,34,20-20
34,45,33,Black,Wheat,26,41,44,28-28
22,42,76,Loamy,Maize,36,40,14,MOP
39,45,52,Loamy,Paddy,35,48,73,10-26-26
31,62,48,Black,Maize,41,41,32,28-28
34,42,80,Black,Maize,34,38,27,28-28
18,69,55,Clayey,Sugarcane,41,45,14,MOP
32,32,46,Black,Cotton,31,20,47,DAP
27,70,65,Clayey,Maize,41,50,18,MOP
37,35,43,Red,Paddy,40,38,16,MOP
18,75,47,Sandy,Wheat,39,60,58,20-20
21,82,21,Black,Pulses,42,32,11,MOP
23,69,51,Loamy,Maize,31,57,33,20-20
33,81,33,Red,Wheat,12,30,30,Urea
32,64,37,Red,Sugarcane,25,37,56,10-26-26
24,37,71,Red,Paddy,40,64,40,14-35-14
33,56,21,Loamy,Cotton,15,40,20,Urea
28,53,67,Red,Paddy,34,10,39,DAP
28,54,51,Red,Cotton,30,48,76,10-26-26
32,81,43,Black,Maize,58,48,57,20-20
30,78,50,Loamy,Paddy,27,57,25,14-35-14
18,73,84,Clayey,Wheat,31,44,60,20-20
28,54,65,Loamy,Sugarcane,51,36,51,20-20
40,64,24,Sandy,Sugarcane,35,75,34,14-35-14
27,40,45,Sandy,Maize,53,39,15,MOP
35,76,32,Clayey,Wheat,32,47,43,20-20
30,78,79,Red,Wheat,32,19,33,DAP
37,70,84,Red,Cotton,34,36,71,10-26-26
40,32,36,Clayey,Maize,34,61,28,14-35-14
38,47,30,Black,Pulses,28,80,37,14-35-14
27,69,45,Loamy,Paddy,13,24,24,Urea
25,70,38,Clayey,Maize,24,38,74,10-26-26
39,45,51,Red,Sugarcane,21,28,20,Urea
39,76,29,Red,Maize,12,21,24,Urea
25,73,54,Clayey,Sugarcane,11,35,26,Urea
31,75,52,Black,Wheat,34,41,19,MOP
32,52,56,Clayey,Cotton,29,27,43,28-28
34,33,59,Red,Sugarcane,58,39,11,MOP
35,77,30,Black,Cotton,35,34,43,20-20
35,62,68,Red,Pulses,37,55,28,14-35-14
25,51,80,Clayey,Cotton,33,31,62,10-26-26
36,73,44,Black,Paddy,50,39,13,MOP
34,40,76,Red,Wheat,10,24,37,Urea
29,72,50,Black,Paddy,26,63,21,14-35-14
26,60,48,Black,Cotton,27,42,69,10-26-26
32,70,80,Red,Wheat,50,18,50,DAP
31,45,66,Black,Cotton,39,61,35,14-35-14
37,73,59,Sandy,Wheat,30,17,50,DAP
39,84,27,Clayey,Wheat,57,32,11,MOP
29,56,70,Red,Paddy,28,27,31,28-28
21,58,59,Loamy,Maize,60,54,46,20-20
18,84,79,Loamy,Sugarcane,33,15,33,DAP
37,73,53,Loamy,Maize,28,33,30,28-28
37,79,25,Loamy,Paddy,34,72,39,14-35-14
31,42,46,Clayey,Cotton,54,20,47,DAP
18,42,77,Red,Maize,14,38,24,Urea
27,46,34,Black,Paddy,38,66,34,14-35-14
29,79,44,Black,Maize,49,15,39,DAP
21,71,43,Red,Maize,58,49,31,20-20
38,41,43,Loamy,Paddy,33,37,56,20-20
33,66,72,Black,Sugarcane,16,38,34,Urea
27,41,51,Red,Wheat,28,43,65,10-26-26
18,37,45,Sandy,Pulses,37,49,52,20-20
33,37,53,Black,Wheat,35,40,30,28-28
24,58,36,Loamy,Sugarcane,43,15,48,DAP
32,40,44,Red,Cotton,21,62,40,14-35-14
30,72,80,Clayey,Wheat,50,38,10,MOP
35,63,30,Sandy,Maize,34,26,36,28-28
19,81,20,Clayey,Pulses,54,17,42,DAP
26,70,72,Black,Paddy,36,40,20,MOP
40,76,76,Black,Wheat,31,27,45,28-28
34,66,54,Black,Sugarcane,25,42,45,28-28
30,74,28,Loamy,Maize,37,44,51,20-20
29,51,69,Sandy,Paddy,43,31,15,MOP
25,68,69,Red,Paddy,15,30,20,Urea
37,69,52,Red,Wheat,46,42,42,20-20
31,54,20,Black,Paddy,54,30,43,20-20
30,60,65,Sandy,Maize,39,33,19,MOP
22,69,45,Black,Cotton,51,16,44,DAP
33,66,85,Clayey,Paddy,36,12,50,DAP
40,70,77,Sandy,Paddy,24,26,23,Urea
23,56,82,Red,Wheat,38,30,31,28-28
23,66,51,Sandy,Maize,11,28,24,Urea
31,55,20,Red,Wheat,39,60,28,14-35-14
37,82,85,Loamy,Maize,18,32,31,Urea
31,52,34,Sandy,Pulses,40,44,69,10-26-26
23,66,30,Red,Maize,52,17,34,DAP
34,61,23,Sandy,Maize,32,34,60,10-26-26
32,55,34,Red,Wheat,38,43,76,10-26-26
32,61,61,Black,Paddy,24,22,35,Urea
36,77,78,Red,Maize,15,23,24,Urea
35,59,40,Red,Cotton,34,44,45,28-28
23,42,28,Black,Sugarcane,22,43,63,10-26-26
31,34,27,Red,Maize,33,42,17,MOP
30,46,76,Sandy,Maize,42,42,54,20-20
23,59,36,Clayey,Wheat,56,17,33,DAP
25,30,24,Black,Sugarcane,39,43,45,20-20
38,53,57,Red,Maize,33,70,34,14-35-14
35,53,60,Sandy,Paddy,28,34,42,28-28
35,57,67,Red,Cotton,16,22,37,Urea
27,40,83,Sandy,Cotton,40,41,38,28-28
39,30,49,Red,Pulses,56,13,41,DAP
40,48,55,Sandy,Wheat,40,35,19,MOP
26,31,20,Red,Maize,37,72,39,14-35-14
32,72,35,Sandy,Paddy,14,24,23,Urea
25,69,47,Black,Pulses,26,31,26,28-28
28,31,50,Red,Wheat,28,27,27,28-28
26,44,36,Sandy,Pulses,30,16,37,DAP
40,72,49,Red,Paddy,34,34,78,10-26-26
31,66,29,Clayey,Sugarcane,23,79,20,14-35-14
22,69,22,Black,Sugarcane,38,15,39,DAP
31,72,74,Sandy,Sugarcane,25,76,37,14-35-14
34,47,62,Sandy,Paddy,30,47,79,10-26-26
35,47,55,Clayey,Wheat,19,20,39,Urea
18,41,29,Sandy,Wheat,56,39,18,MOP
27,45,57,Loamy,Pulses,40,15,36,DAP
39,64,67,Black,Maize,45,20,36,DAP
38,43,68,Black,Sugarcane,18,39,28,Urea
31,39,74,Red,Maize,50,45,38,20-20
25,75,33,Sandy,Wheat,19,30,24,Urea
22,84,76,Black,Sugarcane,26,31,38,28-28
33,41,61,Clayey,Wheat,47,10,40,DAP
22,37,55,Red,Wheat,37,80,26,14-35-14
25,30,64,Clayey,Maize,52,16,46,DAP
28,57,27,Loamy,Sugarcane,39,46,10,MOP
33,82,83,Red,Wheat,32,77,34,14-35-14
34,33,41,Sandy,Cotton,58,45,11,MOP
35,55,68,Clayey,Maize,31,33,37,20-20
40,64,70,Black,Paddy,54,47,43,20-20
26,60,81,Red,Wheat,43,15,48,DAP
27,69,44,Clayey,Pulses,11,34,39,Urea
36,77,71,Red,Cotton,30,59,35,20-20
38,70,84,Clayey,Pulses,41,30,39,28-28
28,61,58,Red,Cotton,23,29,21,Urea
28,57,41,Sandy,Pulses,34,43,27,28-28
28,45,30,Sandy,Wheat,22,27,21,Urea
27,71,20,Red,Pulses,23,35,37,Urea
31,59,59,Red,Cotton,33,34,55,10-26-26
24,70,20,Clayey,Sugarcane,25,33,57,10-26-26
29,35,76,Black,Sugarcane,30,32,12,MOP
20,49,69,Clayey,Paddy,33,15,42,DAP
32,56,41,Red,Sugarcane,48,47,10,MOP
32,84,21,Black,Wheat,47,40,12,MOP
25,74,34,Red,Sugarcane,39,73,31,14-35-14
36,39,25,Clayey,Cotton,56,46,40,20-20
20,46,47,Loamy,Maize,44,11,44,DAP
24,42,67,Red,Cotton,23,36,65,10-26-26
40,64,29,Loamy,Pulses,40,30,47,20-20
24,56,71,Clayey,Paddy,25,35,21,Urea
35,70,27,Sandy,Pulses,40,33,37,20-20
24,48,85,Loamy,Pulses,26,36,27,28-28
39,69,24,Loamy,Wheat,34,19,30,DAP
28,55,85,Loamy,Sugarcane,32,51,57,20-20
18,65,46,Loamy,Cotton,29,44,45,28-28
22,77,61,Sandy,Pulses,32,31,80,10-26-26
38,56,39,Clayey,Wheat,60,31,37,20-20
34,56,35,Black,Maize,56,34,33,20-20
26,44,21,Sandy,Maize,32,31,80,10-26-26
20,40,45,Sandy,Wheat,26,47,80,10-26-26
35,73,21,Sandy,Paddy,31,38,80,10-26-26
34,49,75,Loamy,Sugarcane,20,71,34,14-35-14
40,52,30,Sandy,Wheat,20,30,70,10-26-26
27,42,38,Loamy,Sugarcane,32,13,43,DAP
19,78,37,Clayey,Maize,11,26,38,Urea
27,57,62,Red,Maize,33,34,40,28-28
32,55,39,Red,Paddy,38,34,80,10-26-26
40,52,78,Sandy,Maize,15,37,22,Urea
36,36,59,Black,Cotton,49,15,45,DAP
31,74,79,Sandy,Wheat,45,44,31,28-28
39,84,53,Sandy,Wheat,36,72,31,14-35-14
20,65,39,Red,Cotton,55,13,48,DAP
38,40,64,Black,Maize,22,24,34,Urea
18,56,82,Black,Paddy,39,45,79,10-26-26
29,62,25,Sandy,Pulses,40,38,70,10-26-26
22,63,50,Loamy,Pulses,31,60,24,14-35-14
35,78,21,Sandy,Maize,53,11,41,DAP
25,82,49,Red,Cotton,25,39,36,Urea
29,59,25,Red,Maize,49,38,13,MOP
30,31,68,Loamy,Wheat,41,39,16,MOP
31,60,36,Clayey,Paddy,54,46,11,MOP
29,44,58,Loamy,Sugarcane,60,57,48,20-20
30,65,51,Sandy,Wheat,37,30,25,28-28
32,67,81,Clayey,Paddy,59,19,48,DAP
30,46,82,Loamy,Paddy,38,58,55,20-20
35,65,65,Loamy,Paddy,38,60,58,20-20
19,73,71,Black,Pulses,54,40,58,20-20
23,44,39,Red,Paddy,13,40,34,Urea
25,50,53,Clayey,Paddy,36,29,44,28-28
28,76,31,Red,Sugarcane,39,46,10,MOP
23,71,85,Clayey,Sugarcane,56,12,49,DAP
37,56,51,Clayey,Pulses,26,70,22,14-35-14
34,31,30,Red,Pulses,51,15,48,DAP
29,32,72,Black,Cotton,20,72,29,14-35-14
36,63,74,Sandy,Pulses,51,35,12,MOP
36,52,34,Loamy,Maize,46,34,59,20-20
38,33,34,Red,Pulses,49,10,37,DAP
40,37,73,Clayey,Maize,40,38,67,10-26-26
29,84,80,Black,Maize,30,36,68,10-26-26
26,57,49,Red,Sugarcane,37,76,31,14-35-14
26,63,27,Black,Maize,20,45,64,10-26-26
18,31,30,Loamy,Sugarcane,58,20,34,DAP
30,70,37,Red,Maize,38,77,28,14-35-14
20,56,73,Black,Cotton,47,12,43,DAP
25,62,31,Black,Cotton,45,32,15,MOP
29,40,54,Black,Paddy,52,50,32,20-20
22,77,25,Loamy,Pulses,11,28,39,Urea
19,66,48,Clayey,Cotton,30,35,27,28-28
32,36,56,Black,Pulses,59,10,40,DAP
32,36,48,Black,Sugarcane,59,34,39,20-20
40,70,28,Clayey,Cotton,38,43,70,10-26-26
31,48,28,Black,Wheat,49,44,20,MOP
33,79,35,Sandy,Wheat,14,37,27,Urea
33,42,36,Loamy,Paddy,41,19,35,DAP
31,65,23,Clayey,Wheat,31,16,42,DAP
18,79,61,Black,Maize,52,32,13,MOP
40,78,26,Red,Wheat,30,13,39,DAP
35,59,27,Sandy,Pulses,34,72,37,14-35-14
35,65,49,Clayey,Cotton,38,57,20,14-35-14
34,57,50,Clayey,Cotton,14,34,36,Urea
34,67,80,Clayey,Wheat,43,16,32,DAP
30,40,28,Sandy,Cotton,38,32,25,28-28
34,85,37,Black,Wheat,34,11,35,DAP
26,72,26,Clayey,Cotton,54,14,38,DAP
29,71,29,Loamy,Paddy,44,10,44,DAP
26,69,59,Red,Pulses,44,20,45,DAP
19,63,41,Sandy,Pulses,24,31,36,Urea
19,61,84,Black,Maize,47,41,19,MOP
25,37,24,Black,Pulses,40,56,45,20-20
34,73,36,Black,Wheat,44,44,19,MOP
25,65,81,Sandy,Wheat,45,32,32,28-28
29,51,38,Sandy,Cotton,46,11,38,DAP
36,53,53,Loamy,Cotton,10,28,32,Urea
32,55,45,Loamy,Maize,37,47,60,10-26-26
22,72,68,Sandy,Maize,33,44,67,10-26-26
19,30,50,Loamy,Wheat,37,70,24,14-35-14
32,77,60,Loamy,Paddy,34,59,39,20-20
38,82,47,Sandy,Wheat,24,36,66,10-26-26
35,59,67,Black,Sugarcane,27,34,35,28-28
33,47,24,Black,Sugarcane,51,31,12,MOP
27,52,75,Loamy,Sugarcane,25,34,61,10-26-26
33,48,74,Sandy,Pulses,60,10,48,DAP
29,62,31,Clayey,Sugarcane,41,32,31,28-28
21,31,33,Loamy,Sugarcane,40,33,33,28-28
40,57,47,Red,Wheat,23,45,61,10-26-26
31,34,49,Loamy,Maize,31,33,44,28-28
31,84,83,Red,Sugarcane,33,47,55,10-26-26
18,74,64,Black,Sugarcane,40,33,15,MOP
38,70,28,Clayey,Wheat,48,43,18,MOP
21,73,39,Clayey,Cotton,38,56,41,20-20
28,32,54,Loamy,Sugarcane,39,51,43,20-20
38,63,70,Red,Maize,42,50,53,20-20
26,47,71,Red,Wheat,60,49,49,20-20
35,45,67,Sandy,Paddy,31,48,77,10-26-26
25,42,85,Sandy,Paddy,28,60,40,14-35-14
18,61,43,Black,Cotton,47,36,15,MOP
